GCIS_KEY,PERIOD_ID,TARGET_F,MBNCZZ_CUST_INIT_TRAN_COUNT,MBNCZZ_CUR_OTH_DEP_AMT,CINCZZ_EXPLICIT_INCOME,MBNCZZ_CUR_SAL_CREDIT_AMT,MBNCZZ_ABS_SPOT_AMT,CPNCZZ_MFI_TRAN_COUNT,CUNCZZ_AGE_YEARS,CPNCZZ_REL_AGE_IN_MTH,MBNCZZ_DEP_SPOT_BAL_AMT,CFNCZZ_ACC_TO_FUNDS,CPBCZZ_ACCT_CLOSE_IND,MBNHMI_AVG_OTH_DEP_AMT,MBBHMI_EVERYDAY_BANKER_IND,TRNHDL_AVG_DEPOSIT_AMT,MBOHDL_QUALITY_DEP_IND,CONHDL_SECURITY_AMT,CFNHDL_CURRENT_LVR,MBNHIC_AVG_CUST_INIT_TRAN_C,CMNHDL_FULL_FI_AMT,TRNHSL_TOT_WITHDRAWAL_CNT
40554726,201805,0,41,380,3855.06,9272.93,14156.2,41,68,321,14156.2,14147.2,0,197.83,1,-154.18,0,0,0,40.83,-2.68,-2.91
91914018,201806,0,45,492.15,3174.62,11111.17,1935.03,45,58,343,1935.03,1935.03,0,818.96,1,-413.56,0,0,0,38.84,7.23,1.91
52451704,201807,0,106,0,0,1442.01,21127.1,106,40,143,54.95,30054.95,0,192.7,1,-124.93,0,0,0,40.53,289.63,13.49
52296646,201807,0,121,2129.78,2107.72,11676.53,1748.23,118,47,149,1748.23,1748.23,0,1203.33,1,-212.11,0,0,0,72.17,10.2,9.17
55713846,201806,1,19,156,346.78,2901.22,151.83,19,42,14,151.83,151.83,0,20,1,-787.75,0,0,0,30.99,2.66,-9.34
92347893,201806,0,20,0,2722.8,6353.2,1859.72,20,62,343,1859.72,1859.72,0,0,1,149.3,0,0,0,27.4,2.1,-1.06
53631807,201804,0,16,1159.24,1121.6,0,48.66,16,35,92,48.66,48.66,0,957,1,-555.19,0,0,0,6.46,5.05,0
50561187,201803,1,57,0,869,5433.69,0,57,18,128,0,0,0,0,1,232.41,0,0,0,69.36,13.48,9.26
50445260,201805,1,9,508.4,508.4,0,32.47,9,24,219,32.47,32.47,0,742.13,1,-60.37,0,0,0,24.92,6.12,1.91
92308615,201807,1,91,85529.01,7954.85,24268.25,174328.32,91,64,362,171622.02,181622.02,0,81.2,1,25662.09,0,0,0,69.3,13.17,-6.74
54798801,201804,0,30,0,3780.96,11515.22,648.48,30,53,45,648.48,648.48,0,4.17,1,343.89,0,0,0,41.94,-1.7,-0.09
51318341,201805,0,18,1300,0,0,1520.06,18,62,184,1520.06,1520.06,0,233.33,0,60,0,0,0,4.84,1.33,0.37
