Cl_Property_ID,CL_Contract_Price,CL_Transfer_Date,Cl_History_From,Cl_Est_Land_Area,Cl_Equiv_Building_Area,Cl_Floor_Area,Cl_Bedrooms,Cl_Bathrooms,Cl_Car_Spaces,Cl_Garages,Cl_Year_Built,Cl_Materials_In_Roof,Cl_Materials_In_External_Walls,Cl_Materials_In_Floor,Cl_Bond_Amount,Cl_Access_Security_Installed,Cl_Air_Conditioned,Cl_Architectural_Style,Cl_Close_To_Public_Transport,Cl_Condition,Cl_Construction_Type,Cl_Dining_Rooms,Cl_Ensuites,Cl_Family_Rooms,Cl_Fireplace,Cl_Floor_Level_Of_Unit,Cl_Frontage,Cl_Lounge_Rooms,Cl_Street_Frontage_Size,Cl_Games_Rooms,Cl_Kitchens,Cl_Meal_Rooms,Cl_Study_Rooms,Cl_Floor_Levels_Inside_Unit,Cl_On_Main_Road,Cl_Renovated,Cl_Scenic_View,Cl_Swimming_Pool,Cl_Toilets,Cl_Heritage_Flag,CL_Property_Type,CL_Unit_No,CL_Unit_No_Derived,CL_Street_No_Start,CL_Street_No_End,CL_Street_Name,CL_Street_Type,CL_Street_Direction,CL_Suburb,CL_Postcode,CL_State,CL_Land_Area
1040527,26/02/3392,23/10/2012,18/10/2012,563,?,112,3,1,1,?,1960,Other,Other,Timber Floor,?,?,Y,?,?,?,?,?,?,?,Y,?,?,?,?,?,?,?,?,?,?,?,?,?,2,?,House,?,?,544,?,Northbourne,Avenue,?,Downer,2602,ACT,563
1048663,0/01/1900,23/11/2017,9/03/2017,1215,?,?,4,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,House,?,?,68,?,Pridham,Street,?,Farrer,2607,ACT,1215
1059016,0/01/1900,28/02/2013,4/09/2011,1692,?,?,4,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,House,?,?,15,?,Richardson,Street,?,Garran,2605,ACT,845
1087308,16/06/3493,19/10/2013,19/10/2013,775,?,172,3,2,2,1,1978,Corrugated Iron,Brick,Pine Timber Floor,?,?,Y,?,?,?,?,?,1,?,Y,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,House,?,?,24,?,Gascoyne,Circuit,?,Kaleen,2617,ACT,775
1093156,13/02/3570,8/12/2014,8/12/2014,?,?,?,5,1,?,4,?,?,?,?,?,?,Y,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,House,?,?,6,?,Mcdermott,Street,?,Kambah,2902,ACT,1063
1103805,0/01/1900,13/11/2017,31/01/2017,875,?,?,3,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,House,?,?,3,?,Pillar,Place,?,Lyons,2606,ACT,876
1104576,0/01/1900,25/01/2013,25/01/2013,?,?,?,4,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,House,?,?,12,?,Schinckel,Place,?,Macarthur,2904,ACT,980
1119200,12/10/2967,27/04/2017,23/04/2017,3459,?,0,2,1,1,1,1999,OTHER,OTHER,Carpet Floor,1400,?,Y,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,?,House,5,?,11,?,Len Waters,Street,?,Ngunnawal,2913,ACT,3459
1167611,24/03/3036,6/10/2016,6/10/2016,760,?,139,3,2,1,1,1975,Metal,Brick,Carpet Floor,1320,?,Y,?,?,?,BRK,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2,?,House,?,?,80,?,Bradshaw,Drive,?,Gillen,870,NT,760
1177181,9/06/2762,2/06/2014,14/04/2014,930,?,110,3,1,1,?,1986,Aluminium Tile,Clay Brick,Carpet Floor,1600,?,Y,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,House,?,?,8,?,Saltwell,Street,?,Larapinta,875,NT,930
1178863,20/02/3622,7/05/2019,7/05/2019,1110,?,?,3,3,2,?,?,?,?,?,?,?,Y,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Y,?,?,House,?,?,26,?,the Links,?,?,Desert Springs,870,NT,1110
1186258,27/02/2995,19/07/2011,19/07/2011,122700,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,House,?,?,500,?,Hopewell,Road,?,Berry Springs,838,NT,122700
