GCIS_KEY,PERIOD_ID,TARGET_F,MBNCZZ_CUST_INIT_TRAN_COUNT,MBNCZZ_CUR_OTH_DEP_AMT,CINCZZ_EXPLICIT_INCOME,MBNCZZ_CUR_SAL_CREDIT_AMT,MBNCZZ_ABS_SPOT_AMT,CPNCZZ_MFI_TRAN_COUNT,CUNCZZ_AGE_YEARS,CPNCZZ_REL_AGE_IN_MTH,MBNCZZ_DEP_SPOT_BAL_AMT,CFNCZZ_ACC_TO_FUNDS,CPBCZZ_ACCT_CLOSE_IND,MBNHMI_AVG_OTH_DEP_AMT,MBBHMI_EVERYDAY_BANKER_IND,TRNHDL_AVG_DEPOSIT_AMT,MBOHDL_QUALITY_DEP_IND,CONHDL_SECURITY_AMT,CFNHDL_CURRENT_LVR,MBNHIC_AVG_CUST_INIT_TRAN_C,CMNHDL_FULL_FI_AMT,TRNHSL_TOT_WITHDRAWAL_CNT
40554726,201805,0,mid,low,mid,mid,high,mid,higher,higher,higher,mid,No,low,Yes,low,0,low,low,mid,low,lower
91914018,201806,0,mid,low,mid,mid,low,mid,high,higher,mid,low,No,high,Yes,lower,0,low,low,mid,higher,high
52451704,201807,0,higher,lower,low,low,high,higher,mid,mid,low,high,No,low,Yes,low,0,low,low,mid,higher,higher
52296646,201807,0,higher,high,mid,mid,low,higher,high,mid,mid,low,No,high,Yes,low,0,low,low,high,higher,higher
55713846,201806,1,low,low,low,low,lower,low,mid,lower,low,lower,No,low,Yes,lower,0,low,low,mid,high,lower
92347893,201806,0,low,lower,mid,mid,low,low,higher,higher,mid,low,No,lower,Yes,high,0,low,low,low,high,low
53631807,201804,0,low,mid,low,low,lower,low,mid,low,low,lower,No,high,Yes,lower,0,low,low,lower,high,low
50561187,201803,1,high,lower,low,low,lower,high,lower,mid,lower,lower,No,lower,Yes,high,0,low,low,high,higher,higher
50445260,201805,1,lower,low,low,low,lower,lower,low,high,lower,lower,No,high,Yes,mid,0,low,low,low,high,high
92308615,201807,1,high,higher,high,high,higher,high,higher,higher,higher,higher,No,low,Yes,higher,0,low,low,high,higher,lower
54798801,201804,0,mid,lower,mid,mid,low,mid,high,low,low,low,No,low,Yes,high,0,low,low,mid,low,low
51318341,201805,0,low,mid,low,low,low,low,higher,high,mid,low,No,mid,No,high,0,low,low,lower,mid,mid
54345206,201806,0,higher,low,high,high,low,higher,high,lower,low,low,No,low,Yes,low,0,low,low,higher,high,mid
50400026,201805,0,mid,lower,mid,mid,mid,mid,higher,high,mid,mid,No,lower,Yes,lower,0,low,low,mid,higher,high
5446626,201807,0,mid,higher,high,low,high,mid,higher,higher,higher,high,No,higher,Yes,higher,0,low,low,mid,low,low
51912054,201804,1,high,higher,low,low,mid,high,lower,mid,high,mid,No,higher,No,higher,0,low,low,mid,higher,mid
92919054,201805,1,lower,lower,mid,mid,mid,lower,higher,higher,high,mid,No,lower,No,low,0,low,low,lower,mid,low
78454728,201805,1,higher,high,high,high,low,higher,mid,low,low,mid,No,high,Yes,mid,0,low,low,higher,high,low
55765846,201806,0,lower,low,low,low,lower,lower,lower,lower,lower,lower,No,mid,Yes,mid,0,low,low,low,low,low
40244693,201807,0,high,high,low,low,higher,high,high,higher,high,higher,No,higher,Yes,high,0,low,low,high,low,low
