Cl_Property_ID,CL_Contract_Price,CL_Transfer_Date,Cl_History_From,Cl_Est_Land_Area,Cl_Equiv_Building_Area,Cl_Floor_Area,Cl_Bedrooms,Cl_Bathrooms,Cl_Car_Spaces,Cl_Garages,Cl_Year_Built,Cl_Materials_In_Roof,Cl_Materials_In_External_Walls,Cl_Materials_In_Floor,Cl_Bond_Amount,Cl_Access_Security_Installed,Cl_Air_Conditioned,Cl_Architectural_Style,Cl_Close_To_Public_Transport,Cl_Condition,Cl_Construction_Type,Cl_Dining_Rooms,Cl_Ensuites,Cl_Family_Rooms,Cl_Fireplace,Cl_Floor_Level_Of_Unit,Cl_Frontage,Cl_Lounge_Rooms,Cl_Street_Frontage_Size,Cl_Games_Rooms,Cl_Kitchens,Cl_Meal_Rooms,Cl_Study_Rooms,Cl_Floor_Levels_Inside_Unit,Cl_On_Main_Road,Cl_Renovated,Cl_Scenic_View,Cl_Swimming_Pool,Cl_Toilets,Cl_Heritage_Flag,CL_Property_Type,CL_Unit_No,CL_Unit_No_Derived,CL_Street_No_Start,CL_Street_No_End,CL_Street_Name,CL_Street_Type,CL_Street_Direction,CL_Suburb,CL_Postcode,CL_State,CL_Land_Area
9160056,440000,16/04/2013,16/04/2013,1045,?,?,3,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,House,?,?,10,?,Marian,Street,?,Aireys Inlet,3231,VIC,930
17246721,355250,16/12/2014,16/12/2014,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,House,?,?,11,?,Bowral,Grove,?,Jordan Springs,2747,NSW,425
12087127,285000,25/09/2011,26/05/2011,550,?,85,3,1,1,1,1976,Tile,Brick,?,1200,?,?,?,?,?,?,1,?,?,?,?,?,1,?,?,1,?,?,?,?,?,?,?,?,?,Unit,?,?,3B,?,Beckford,Close,?,East Cannington,6107,WA,550
5803664,687000,6/09/2013,29/08/2013,3051,?,82,2,1,1,1,1996,Other,Other,Tiled Floor Timber Floor,2200,?,?,?,Y,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,?,?,?,Y,?,?,Unit,33,?,41,?,Pitt,Street,?,Redfern,2016,NSW,3050
6828541,280000,15/10/2011,7/09/2011,645,?,?,3,1,2,2,?,?,?,Timber Floor,1280,?,Y,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,House,?,?,58,?,Beeville,Road,?,Petrie,4502,QLD,645
5148187,2100000,13/02/2013,13/02/2013,714,?,277,4,3,2,1,1960,Other,Other,?,2400,?,?,?,Y,?,?,?,1,?,Y,?,?,?,?,?,?,?,?,?,?,?,Y,Y,?,?,House,?,?,30A,?,Annette,Street,?,Oatley,2223,NSW,715
4646617,375000,7/12/2011,7/12/2011,45000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,House,?,?,196,?,Morgans Reserve,Road,?,Mundongo,2720,NSW,43380
1527062,915000,9/10/2010,9/10/2010,106,?,?,3,2,1,1,?,?,Brick,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Y,?,?,?,?,?,House,?,?,128,?,Ebley,Street,?,Bondi Junction,2022,NSW,108
6440727,1105000,14/02/2017,14/02/2017,902,?,?,3,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,House,?,?,31,?,Sydney,Street,?,St Marys,2760,NSW,934
11399499,261000,21/11/2015,21/11/2015,809,?,124,2,2,2,1,1950,Colorbond,Hardiplank,?,?,?,Y,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,Y,?,?,?,?,?,House,?,?,55,?,Bridge,Street,?,Korumburra,3950,VIC,809
7680094,365000,22/10/2011,22/10/2011,145,?,104,3,2,1,1,?,Terrcotta Tiles,Rendered Masonry,Carpet Floor,1840,Y,Y,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,2,?,?,?,Y,?,?,Unit,64,?,7,?,Elliott,Street,?,Surfers Paradise,4217,QLD,?
11756573,480000,31/05/2015,31/05/2015,540,?,149,3,2,2,2,2002,TILE,Rendered Masonry  Brick,Carpet Floor,?,Y,Y,?,?,?,?,?,1,1,?,?,?,1,?,?,1,1,?,?,?,?,?,?,1,?,House,?,?,14,?,Soberton,Street,?,Butler,6036,WA,540
6798191,0,23/12/2016,21/10/2016,729,?,?,3,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,House,?,?,47,?,Warrigal,Street,?,the Entrance,2261,NSW,696
2383520,599000,8/03/2019,22/08/2018,?,?,?,3,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,House,2,?,36,?,Willowbank,Place,?,Gerringong,2534,NSW,815
15960604,259000,28/02/2012,28/02/2012,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Unit,1,?,14,?,Wisteria,Lane,?,Southside,4570,QLD,105
